Region;Contagiados con Atraso;Contagiados;Muertes;Muertes_DEIS;Recuperados;Infectados_Actuales;UCI;Fecha;Total_Contagiados
Prov_Concepción;244;267;0;3;0;0;0;4/2/2020;
Prov_Biobío;32;33;0;0;0;0;0;4/2/2020;
Prov_Arauco;9;9;0;0;0;0;0;4/2/2020;
Prov_Concepción;283;310;0;3;0;0;0;4/3/2020;
Prov_Biobío;34;35;0;0;0;0;0;4/3/2020;
Prov_Arauco;11;12;0;0;0;0;0;4/3/2020;
Prov_Concepción;305;334;;3;;;;4/4/2020;
Prov_Biobío;37;38;;0;;;;4/4/2020;
Prov_Arauco;11;12;;0;;;;4/4/2020;
Prov_Concepción;323;354;;3;;;;4/5/2020;
Prov_Biobío;38;39;;1;;;;4/5/2020;
Prov_Arauco;11;12;;0;;;;4/5/2020;
Prov_Concepción;342;375;;4;;;;4/6/2020;
Prov_Biobío;45;46;;2;;;;4/6/2020;
Prov_Arauco;11;12;;0;;;;4/6/2020;
Prov_Concepción;361;396;;4;;;;4/7/2020;
Prov_Biobío;47;49;;2;;;;4/7/2020;
Prov_Arauco;11;12;;0;;;;4/7/2020;
Prov_Concepción;386;423;;4;;;;4/8/2020;
Prov_Biobío;51;53;;2;;;;4/8/2020;
Prov_Arauco;11;12;;0;;;;4/8/2020;
Prov_Concepción;403;442;;4;;;;4/9/2020;
Prov_Biobío;55;57;;2;;;;4/9/2020;
Prov_Arauco;11;12;;0;;;;4/9/2020;
Prov_Concepción;417;457;;6;;;;4/10/2020;
Prov_Biobío;58;60;;2;;;;4/10/2020;
Prov_Arauco;11;12;;0;;;;4/10/2020;
Prov_Concepción;427;468;;6;;;;4/11/2020;
Prov_Biobío;58;60;;2;;;;4/11/2020;
Prov_Arauco;11;12;;0;;;;4/11/2020;
Prov_Concepción;437;479;;6;;;;4/12/2020;
Prov_Biobío;59;61;;2;;;;4/12/2020;
Prov_Arauco;11;12;;0;;;;4/12/2020;
Prov_Concepción;454;497;;7;;;;4/13/2020;
Prov_Biobío;59;61;;2;;;;4/13/2020;
Prov_Arauco;11;12;;0;;;;4/13/2020;
Prov_Concepción;466;511;;7;;;;4/14/2020;
Prov_Biobío;61;63;;2;;;;4/14/2020;
Prov_Arauco;11;12;;0;;;;4/14/2020;
Prov_Concepción;480;526;;9;;;;4/15/2020;
Prov_Biobío;63;65;;2;;;;4/15/2020;
Prov_Arauco;11;12;;0;;;;4/15/2020;
Prov_Concepción;495;542;;9;;;;4/16/2020;
Prov_Biobío;63;65;;2;;;;4/16/2020;
Prov_Arauco;11;12;;0;;;;4/16/2020;
Prov_Concepción;522;572;;9;;;;4/17/2020;
Prov_Biobío;63;65;;2;;;;4/17/2020;
Prov_Arauco;11;12;;0;;;;4/17/2020;
Prov_Concepción;536;587;;9;;;;4/18/2020;
Prov_Biobío;66;68;;2;;;;4/18/2020;
Prov_Arauco;11;12;;0;;;;4/18/2020;
Prov_Concepción;544;596;;10;;;;4/19/2020;
Prov_Biobío;67;69;;2;;;;4/19/2020;
Prov_Arauco;11;12;;0;;;;4/19/2020;
Prov_Concepción;554;607;;10;;;;4/20/2020;
Prov_Biobío;67;69;;2;;;;4/20/2020;
Prov_Arauco;11;12;;0;;;;4/20/2020;
Prov_Concepción;574;629;;12;;;;4/21/2020;
Prov_Biobío;68;70;;2;;;;4/21/2020;
Prov_Arauco;12;13;;0;;;;4/21/2020;
Prov_Concepción;588;644;;12;;;;4/22/2020;
Prov_Biobío;72;74;;2;;;;4/22/2020;
Prov_Arauco;12;13;;0;;;;4/22/2020;
Prov_Concepción;596;653;;13;;;;4/23/2020;
Prov_Biobío;72;74;;2;;;;4/23/2020;
Prov_Arauco;12;13;;0;;;;4/23/2020;
Prov_Concepción;602;660;;13;;;;4/24/2020;
Prov_Biobío;80;83;;2;;;;4/24/2020;
Prov_Arauco;12;13;;0;;;;4/24/2020;
Prov_Concepción;609;667;;15;;;;4/25/2020;
Prov_Biobío;80;83;;2;;;;4/25/2020;
Prov_Arauco;12;13;;0;;;;4/25/2020;
Prov_Concepción;612;671;;15;;;;4/26/2020;
Prov_Biobío;80;83;;2;;;;4/26/2020;
Prov_Arauco;12;13;;0;;;;4/26/2020;
Prov_Concepción;614;673;;17;;;;4/27/2020;
Prov_Biobío;81;84;;2;;;;4/27/2020;
Prov_Arauco;12;13;;0;;;;4/27/2020;
Prov_Concepción;622;682;;17;;;;4/28/2020;
Prov_Biobío;81;84;;2;;;;4/28/2020;
Prov_Arauco;12;13;;0;;;;4/28/2020;
Prov_Concepción;630;690;;19;;;;4/29/2020;
Prov_Biobío;81;84;;2;;;;4/29/2020;
Prov_Arauco;12;13;;0;;;;4/29/2020;
Prov_Concepción;635;696;;19;;;;4/30/2020;
Prov_Biobío;81;84;;2;;;;4/30/2020;
Prov_Arauco;12;13;;0;;;;4/30/2020;
Prov_Concepción;646;708;;20;;;;5/1/2020;
Prov_Biobío;82;85;;2;;;;5/1/2020;
Prov_Arauco;12;13;;0;;;;5/1/2020;
Prov_Concepción;653;715;;20;;;;5/2/2020;
Prov_Biobío;82;85;;2;;;;5/2/2020;
Prov_Arauco;12;13;;0;;;;5/2/2020;
Prov_Concepción;655;718;;21;;;;5/3/2020;
Prov_Biobío;84;87;;2;;;;5/3/2020;
Prov_Arauco;12;13;;0;;;;5/3/2020;
Prov_Concepción;668;732;;21;;;;5/4/2020;
Prov_Biobío;84;87;;2;;;;5/4/2020;
Prov_Arauco;12;13;;0;;;;5/4/2020;
Prov_Concepción;677;742;;23;;;;5/5/2020;
Prov_Biobío;88;91;;2;;;;5/5/2020;
Prov_Arauco;12;13;;0;;;;5/5/2020;
Prov_Concepción;691;757;;23;;;;5/6/2020;
Prov_Biobío;96;99;;2;;;;5/6/2020;
Prov_Arauco;15;16;;0;;;;5/6/2020;
Prov_Concepción;707;775;;24;;;;5/7/2020;
Prov_Biobío;103;106;;3;;;;5/7/2020;
Prov_Arauco;19;20;;0;;;;5/7/2020;
Prov_Concepción;729;799;;25;;;;5/8/2020;
Prov_Biobío;118;122;;3;;;;5/8/2020;
Prov_Arauco;23;24;;0;;;;5/8/2020;
Prov_Concepción;740;811;;25;;;;5/9/2020;
Prov_Biobío;122;126;;3;;;;5/9/2020;
Prov_Arauco;25;26;;0;;;;5/9/2020;
Prov_Concepción;757;829;;25;;;;5/10/2020;
Prov_Biobío;137;141;;3;;;;5/10/2020;
Prov_Arauco;25;26;;0;;;;5/10/2020;
Prov_Concepción;763;836;;26;;;;5/11/2020;
Prov_Biobío;141;146;;4;;;;5/11/2020;
Prov_Arauco;25;26;;0;;;;5/11/2020;
Prov_Concepción;785;860;;27;;;;5/12/2020;
Prov_Biobío;151;156;;4;;;;5/12/2020;
Prov_Arauco;25;26;;0;;;;5/12/2020;
Prov_Concepción;797;873;;27;;;;5/13/2020;
Prov_Biobío;157;162;;5;;;;5/13/2020;
Prov_Arauco;26;27;;0;;;;5/13/2020;
Prov_Concepción;800;877;;27;;;;5/14/2020;
Prov_Biobío;191;197;;5;;;;5/14/2020;
Prov_Arauco;27;28;;0;;;;5/14/2020;
Prov_Concepción;822;901;;27;;;;5/15/2020;
Prov_Biobío;207;214;;5;;;;5/15/2020;
Prov_Arauco;29;30;;0;;;;5/15/2020;
Prov_Concepción;829;908;;27;;;;5/16/2020;
Prov_Biobío;227;234;;5;;;;5/16/2020;
Prov_Arauco;29;30;;0;;;;5/16/2020;
Prov_Concepción;849;930;;27;;;;5/17/2020;
Prov_Biobío;249;257;;5;;;;5/17/2020;
Prov_Arauco;30;31;;0;;;;5/17/2020;
Prov_Concepción;863;946;;27;;;;5/18/2020;
Prov_Biobío;259;267;;5;;;;5/18/2020;
Prov_Arauco;33;35;;0;;;;5/18/2020;
Prov_Concepción;892;977;;27;;;;5/19/2020;
Prov_Biobío;278;287;;5;;;;5/19/2020;
Prov_Arauco;37;39;;0;;;;5/19/2020;
Prov_Concepción;913;1000;;28;;;;5/20/2020;
Prov_Biobío;293;302;;5;;;;5/20/2020;
Prov_Arauco;39;41;;0;;;;5/20/2020;
Prov_Concepción;940;1030;;28;;;;5/21/2020;
Prov_Biobío;311;321;;5;;;;5/21/2020;
Prov_Arauco;42;44;;0;;;;5/21/2020;
Prov_Concepción;962;1054;;29;;;;5/22/2020;
Prov_Biobío;324;334;;5;;;;5/22/2020;
Prov_Arauco;46;48;;0;;;;5/22/2020;
Prov_Concepción;987;1081;;30;;;;5/23/2020;
Prov_Biobío;355;366;;6;;;;5/23/2020;
Prov_Arauco;51;53;;0;;;;5/23/2020;
Prov_Concepción;1013;1110;;30;;;;5/24/2020;
Prov_Biobío;370;382;;6;;;;5/24/2020;
Prov_Arauco;54;57;;0;;;;5/24/2020;
