Region,Contagiados con Atraso,Contagiados,Muertes,Muertes_DEIS,Recuperados,Infectados_Actuales,UCI,Fecha,Total_Contagiados
Diguillín,53,53,0,0,0,0,0,3/20/2020,
Itata,0,0,0,0,0,0,0,3/20/2020,
Punilla,4,4,0,0,0,0,0,3/20/2020,
Diguillín,59,59,,0,,,,3/21/2020,
Itata,0,0,,0,,,,3/21/2020,
Punilla,7,7,,0,,,,3/21/2020,
Diguillín,85,85,,0,,,,3/22/2020,
Itata,0,0,,0,,,,3/22/2020,
Punilla,8,8,,0,,,,3/22/2020,
Diguillín,96,96,,0,,,,3/23/2020,
Itata,0,0,,0,,,,3/23/2020,
Punilla,11,11,,0,,,,3/23/2020,
Diguillín,101,101,,0,,,,3/24/2020,
Itata,0,0,,0,,,,3/24/2020,
Punilla,12,12,,0,,,,3/24/2020,
Diguillín,108,108,,0,,,,3/25/2020,
Itata,1,1,,0,,,,3/25/2020,
Punilla,12,12,,0,,,,3/25/2020,
Diguillín,136,136,,0,,,,3/26/2020,
Itata,1,1,,0,,,,3/26/2020,
Punilla,13,13,,0,,,,3/26/2020,
Diguillín,167,167,,0,,,,3/27/2020,
Itata,1,1,,0,,,,3/27/2020,
Punilla,16,16,,1,,,,3/27/2020,
Diguillín,182,182,,0,,,,3/28/2020,
Itata,2,2,,0,,,,3/28/2020,
Punilla,16,16,,1,,,,3/28/2020,
Diguillín,212,212,,0,,,,3/29/2020,
Itata,2,2,,1,,,,3/29/2020,
Punilla,19,19,,1,,,,3/29/2020,
Diguillín,255,255,,0,,,,3/30/2020,
Itata,3,3,,1,,,,3/30/2020,
Punilla,24,24,,1,,,,3/30/2020,
Diguillín,292,292,,1,,,,3/31/2020,
Itata,4,4,,1,,,,3/31/2020,
Punilla,26,26,,1,,,,3/31/2020,
Diguillín,329,329,,1,,,,4/1/2020,
Itata,6,6,,1,,,,4/1/2020,
Punilla,27,27,,1,,,,4/1/2020,
Diguillín,350,350,,2,,,,4/2/2020,
Itata,8,8,,1,,,,4/2/2020,
Punilla,28,28,,1,,,,4/2/2020,
Diguillín,380,380,,3,,,,4/3/2020,
Itata,10,10,,2,,,,4/3/2020,
Punilla,31,31,,1,,,,4/3/2020,
Diguillín,423,423,,4,,,,4/4/2020,
Itata,13,13,,2,,,,4/4/2020,
Punilla,38,38,,1,,,,4/4/2020,
Diguillín,457,457,,5,,,,4/5/2020,
Itata,16,16,,2,,,,4/5/2020,
Punilla,46,46,,1,,,,4/5/2020,
Diguillín,484,484,,6,,,,4/6/2020,
Itata,16,16,,2,,,,4/6/2020,
Punilla,51,51,,1,,,,4/6/2020,
Diguillín,500,500,,7,,,,4/7/2020,
Itata,20,20,,3,,,,4/7/2020,
Punilla,54,54,,1,,,,4/7/2020,
Diguillín,508,508,,7,,,,4/8/2020,
Itata,20,20,,3,,,,4/8/2020,
Punilla,56,56,,1,,,,4/8/2020,
Diguillín,523,523,,7,,,,4/9/2020,
Itata,20,20,,3,,,,4/9/2020,
Punilla,56,56,,1,,,,4/9/2020,
Diguillín,531,531,,8,,,,4/10/2020,
Itata,20,20,,3,,,,4/10/2020,
Punilla,61,61,,1,,,,4/10/2020,
Diguillín,534,534,,8,,,,4/11/2020,
Itata,20,20,,3,,,,4/11/2020,
Punilla,62,62,,1,,,,4/11/2020,
Diguillín,537,537,,8,,,,4/12/2020,
Itata,20,20,,3,,,,4/12/2020,
Punilla,62,62,,1,,,,4/12/2020,
Diguillín,544,544,,8,,,,4/13/2020,
Itata,21,21,,3,,,,4/13/2020,
Punilla,64,64,,2,,,,4/13/2020,
Diguillín,548,548,,8,,,,4/14/2020,
Itata,21,21,,3,,,,4/14/2020,
Punilla,65,65,,2,,,,4/14/2020,
Diguillín,560,560,,9,,,,4/15/2020,
Itata,21,21,,3,,,,4/15/2020,
Punilla,67,67,,3,,,,4/15/2020,
Diguillín,565,565,,10,,,,4/16/2020,
Itata,22,22,,3,,,,4/16/2020,
Punilla,68,68,,4,,,,4/16/2020,
Diguillín,571,571,,10,,,,4/17/2020,
Itata,22,22,,3,,,,4/17/2020,
Punilla,71,71,,4,,,,4/17/2020,
Diguillín,581,581,,11,,,,4/18/2020,
Itata,22,22,,3,,,,4/18/2020,
Punilla,75,75,,4,,,,4/18/2020,
Diguillín,587,587,,11,,,,4/19/2020,
Itata,22,22,,3,,,,4/19/2020,
Punilla,75,75,,4,,,,4/19/2020,
Diguillín,593,593,,11,,,,4/20/2020,
Itata,22,22,,3,,,,4/20/2020,
Punilla,75,75,,4,,,,4/20/2020,
Diguillín,599,599,,11,,,,4/21/2020,
Itata,22,22,,3,,,,4/21/2020,
Punilla,78,78,,4,,,,4/21/2020,
Diguillín,603,603,,11,,,,4/22/2020,
Itata,22,22,,3,,,,4/22/2020,
Punilla,79,79,,4,,,,4/22/2020,
Diguillín,610,610,,11,,,,4/23/2020,
Itata,22,22,,3,,,,4/23/2020,
Punilla,79,79,,5,,,,4/23/2020,
Diguillín,617,617,,11,,,,4/24/2020,
Itata,22,22,,3,,,,4/24/2020,
Punilla,80,80,,5,,,,4/24/2020,
Diguillín,623,623,,11,,,,4/25/2020,
Itata,22,22,,3,,,,4/25/2020,
Punilla,84,84,,5,,,,4/25/2020,
Diguillín,624,624,,11,,,,4/26/2020,
Itata,22,22,,3,,,,4/26/2020,
Punilla,93,93,,5,,,,4/26/2020,
Diguillín,625,625,,11,,,,4/27/2020,
Itata,22,22,,3,,,,4/27/2020,
